Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Threads,Failed
"asia.osm",91,3,817,0.03,0.027336,0.459,992952,96,0
"asia.osm",1000,4,7380,0.03,0.028031,0.535,1095984,96,0
"asia.osm",128,4,1097,0.03,0.025534,0.464,998716,96,0
"asia.osm",37,4,376,0.03,0.027353,0.459,933920,96,0
"asia.osm",64,4,575,0.03,0.027403,0.452,959828,96,0
"asia.osm",8,4,67,0.03,0.028555,0.415,1015656,96,0
"asia.osm",91,4,829,0.03,0.024443,0.466,989968,96,0
"asia.osm",1000,5,7421,0.03,0.028031,0.536,1096160,96,0
"asia.osm",128,5,1083,0.03,0.028833,0.463,997136,96,0
"asia.osm",37,5,352,0.03,0.025468,0.452,944408,96,0
"asia.osm",64,5,602,0.03,0.028324,0.45,949720,96,0
"asia.osm",8,5,63,0.03,0.028054,0.41,1014532,96,0
"asia.osm",91,5,823,0.03,0.023628,0.465,977620,96,0
"audikw1",1000,1,9544263,0.03,0.029661,14.335,2694140,96,0
"audikw1",128,1,4178712,0.03,0.029974,2.253,2059528,96,0
"audikw1",37,1,2196868,0.03,0.029993,1.659,1443508,96,0
"audikw1",64,1,2928436,0.03,0.029974,1.748,1761492,96,0
"audikw1",8,1,838171,0.03,0.029993,0.833,791996,96,0
"audikw1",91,1,3491487,0.03,0.029988,2.178,1976440,96,0
"audikw1",1000,2,9555189,0.03,0.029661,14.173,2710096,96,0
"audikw1",128,2,4181014,0.03,0.029974,2.291,2100604,96,0
"audikw1",37,2,2266753,0.03,0.029993,1.65,1606224,96,0
"audikw1",64,2,2909724,0.03,0.029974,1.825,1806224,96,0
"audikw1",8,2,825094,0.03,0.029925,0.829,786900,96,0
"audikw1",91,2,3476541,0.03,0.029988,1.969,1929296,96,0
"audikw1",1000,3,9561969,0.03,0.029661,14.095,2687184,96,0
"audikw1",128,3,4118397,0.03,0.029974,2.201,2063072,96,0
"audikw1",37,3,2194773,0.03,0.029993,1.633,1453280,96,0
"audikw1",64,3,2899598,0.03,0.029974,1.687,1838404,96,0
"audikw1",8,3,868739,0.03,0.029993,0.838,785488,96,0
"audikw1",91,3,3491622,0.03,0.029988,2.028,1980268,96,0
"audikw1",1000,4,9522268,0.03,0.029661,14.864,2712972,96,0
"audikw1",128,4,4124243,0.03,0.029974,2.221,2100880,96,0
"audikw1",37,4,2173447,0.03,0.029993,1.687,1453732,96,0
"audikw1",64,4,2915950,0.03,0.029974,1.726,1837004,96,0
"audikw1",8,4,826848,0.03,0.029993,0.786,779148,96,0
"audikw1",91,4,3465545,0.03,0.029988,1.954,1990240,96,0
"audikw1",1000,5,9538170,0.03,0.029661,14.897,2694796,96,0
"audikw1",128,5,4111344,0.03,0.029974,2.411,2061280,96,0
"audikw1",37,5,2207106,0.03,0.029993,1.64,1550920,96,0
"audikw1",64,5,2956698,0.03,0.029974,1.716,1847848,96,0
"audikw1",8,5,812402,0.03,0.017404,0.845,771192,96,0
"audikw1",91,5,3490176,0.03,0.029988,1.974,1935976,96,0
"bn-human-Jung2015_M87117515",1000,1,12941895,0.03,0.029148,5.661,2975528,96,0
"bn-human-Jung2015_M87117515",128,1,4518217,0.03,0.029859,1.834,2212644,96,0
"bn-human-Jung2015_M87117515",37,1,2115128,0.03,0.029962,1.692,1625656,96,0
"bn-human-Jung2015_M87117515",64,1,3027575,0.03,0.029931,1.626,1811116,96,0
